pmutype, desID, event0, event1, , start, duration, end, layerID, desType,     srcAddr, dstAddr, trans_fmt, transpose_md, cmd_id, wait_id_tpu, dst_h_stride, dst_c_stride_low,     dst_n_stride, src_h_stride, src_c_stride_low, src_n_stride, dst_c, src_c, dst_w, dst_h, src_w, src_h, src_n
2, 47, 41, 582, 2, 235983, 1237, 237220, 20, TDMA Tensor Store Compression, 0x3328, 0x4295257008,         0, 0, 47, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 48, 40, 577, 2, 237221, 1191, 238412, 20, TDMA Tensor Store Compression, 0x3384, 0x4295272256,         0, 0, 48, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 49, 40, 579, 2, 238413, 1154, 239567, 20, TDMA Tensor Store Compression, 0x3440, 0x4295287504,         0, 0, 49, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
4, 8, 0, 0, 3, 235982, 4489, 240471, 19, TIU PerChannel Convolution
2, 50, 41, 577, 2, 239568, 1272, 240840, 20, TDMA Tensor Store Compression, 0x3496, 0x4295302752,         0, 0, 50, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 51, 40, 580, 2, 240841, 1123, 241964, 20, TDMA Tensor Store Compression, 0x3552, 0x4295318000,         0, 0, 51, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 52, 40, 578, 2, 241965, 1228, 243193, 20, TDMA Tensor Store Compression, 0x3608, 0x4295333248,         0, 0, 52, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 53, 40, 581, 2, 243194, 1121, 244315, 20, TDMA Tensor Store Compression, 0x3664, 0x4295348496,         0, 0, 53, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 54, 42, 586, 2, 244316, 1254, 245570, 20, TDMA Tensor Store Compression, 0x3720, 0x4295363744,         0, 0, 54, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 55, 41, 586, 2, 245571, 1127, 246698, 20, TDMA Tensor Store Compression, 0x3776, 0x4295378992,         0, 0, 55, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 56, 40, 585, 2, 246699, 1255, 247954, 20, TDMA Tensor Store Compression, 0x3832, 0x4295394240,         0, 0, 56, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 57, 42, 590, 2, 247955, 1125, 249080, 20, TDMA Tensor Store Compression, 0x3888, 0x4295409488,         0, 0, 57, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 58, 42, 599, 2, 249081, 1143, 250224, 20, TDMA Tensor Store Compression, 0x3944, 0x4295424736,         0, 0, 58, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 59, 39, 600, 2, 250225, 1129, 251354, 20, TDMA Tensor Store Compression, 0x4000, 0x4295439984,         0, 0, 59, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 60, 41, 598, 2, 251355, 1134, 252489, 20, TDMA Tensor Store Compression, 0x4056, 0x4295455232,         0, 0, 60, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 61, 42, 589, 2, 252490, 1154, 253644, 20, TDMA Tensor Store Compression, 0x4112, 0x4295470480,         0, 0, 61, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 62, 41, 594, 2, 253645, 1130, 254775, 20, TDMA Tensor Store Compression, 0x4168, 0x4295485728,         0, 0, 62, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 63, 41, 593, 2, 254776, 1193, 255969, 20, TDMA Tensor Store Compression, 0x4224, 0x4295500976,         0, 0, 63, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 64, 41, 587, 2, 255970, 1133, 257103, 20, TDMA Tensor Store Compression, 0x4280, 0x4295516224,         0, 0, 64, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 65, 42, 588, 2, 257104, 1229, 258333, 20, TDMA Tensor Store Compression, 0x4336, 0x4295531472,         0, 0, 65, 7, 56, 56, 14336, 56, 1072, 8576, 256, 256, 56, 1, 56, 1, 1
2, 66, 9, 120, 2, 258334, 364, 258698, 21, TDMA Tensor Store Compression, 0x11904, 0x4295893840,         0, 0, 66, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 67, 9, 121, 2, 258699, 369, 259068, 21, TDMA Tensor Store Compression, 0x11960, 0x4295897664,         0, 0, 67, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 68, 9, 122, 2, 259069, 362, 259431, 21, TDMA Tensor Store Compression, 0x12016, 0x4295901488,         0, 0, 68, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 69, 9, 120, 2, 259432, 372, 259804, 21, TDMA Tensor Store Compression, 0x12072, 0x4295905312,         0, 0, 69, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 70, 9, 121, 2, 259805, 360, 260165, 21, TDMA Tensor Store Compression, 0x12128, 0x4295909136,         0, 0, 70, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 71, 10, 122, 2, 260166, 492, 260658, 21, TDMA Tensor Store Compression, 0x12184, 0x4295912960,         0, 0, 71, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 72, 10, 124, 2, 260659, 365, 261024, 21, TDMA Tensor Store Compression, 0x12240, 0x4295916784,         0, 0, 72, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 73, 10, 123, 2, 261025, 367, 261392, 21, TDMA Tensor Store Compression, 0x12296, 0x4295920608,         0, 0, 73, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 74, 10, 124, 2, 261393, 364, 261757, 21, TDMA Tensor Store Compression, 0x12352, 0x4295924432,         0, 0, 74, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 75, 10, 123, 2, 261758, 368, 262126, 21, TDMA Tensor Store Compression, 0x12408, 0x4295928256,         0, 0, 75, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 76, 10, 122, 2, 262127, 363, 262490, 21, TDMA Tensor Store Compression, 0x12464, 0x4295932080,         0, 0, 76, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 77, 9, 120, 2, 262491, 368, 262859, 21, TDMA Tensor Store Compression, 0x12520, 0x4295935904,         0, 0, 77, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 78, 9, 120, 2, 262860, 364, 263224, 21, TDMA Tensor Store Compression, 0x12576, 0x4295939728,         0, 0, 78, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 79, 9, 119, 2, 263225, 372, 263597, 21, TDMA Tensor Store Compression, 0x12632, 0x4295943552,         0, 0, 79, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 80, 9, 118, 2, 263598, 364, 263962, 21, TDMA Tensor Store Compression, 0x12688, 0x4295947376,         0, 0, 80, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 81, 9, 119, 2, 263963, 372, 264335, 21, TDMA Tensor Store Compression, 0x12744, 0x4295951200,         0, 0, 81, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 82, 9, 120, 2, 264336, 365, 264701, 21, TDMA Tensor Store Compression, 0x12800, 0x4295955024,         0, 0, 82, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 83, 9, 118, 2, 264702, 370, 265072, 21, TDMA Tensor Store Compression, 0x12856, 0x4295958848,         0, 0, 83, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
2, 84, 9, 117, 2, 265073, 361, 265434, 21, TDMA Tensor Store Compression, 0x12912, 0x4295962672,         0, 0, 84, 8, 56, 56, 3584, 56, 1072, 2144, 64, 64, 56, 1, 56, 1, 1
